episode_id,cell_id,x,y,z,surface_normal_x,surface_normal_y,surface_normal_z,force_N,rpm,feed_mm_s,step_over_mm,step_over_ratio,pass_count,roughness_before,roughness_after,scratch_before,scratch_after,ra_before_um,ra_after_um,rz_before_um,rz_after_um,clearcoat_before_um,clearcoat_after_um,clearcoat_removed_um,is_defect,dwell_weighted_s,contact_steps,recipe_id,surface_seed
0,70,0.003000,0.021000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.640583,0.431288,0.000000,0.000000,0.564792,0.372229,1.954183,1.355955,40.0000,38.8441,1.155862,0,30.4507,378,recipe_00020,1000
0,71,0.003000,0.023000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.634677,0.414189,0.000000,0.000000,0.558781,0.354377,1.954183,1.355955,40.0000,38.8313,1.168684,0,31.3690,390,recipe_00020,1000
0,72,0.003000,0.025000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.638238,0.407440,0.000000,0.000000,0.564034,0.348360,1.954183,1.355955,40.0000,38.8437,1.156333,0,32.1427,398,recipe_00020,1000
0,73,0.003000,0.027000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.611039,0.390537,0.044319,0.000000,0.527175,0.325690,1.892376,1.328070,40.0000,38.9389,1.061117,1,32.8092,404,recipe_00020,1000
0,74,0.003000,0.029000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.527103,0.339112,1.042770,0.596291,0.428126,0.261221,1.773335,1.248861,40.0000,39.3129,0.687056,1,33.4557,412,recipe_00020,1000
0,75,0.003000,0.031000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.503282,0.318779,1.299027,0.765873,0.395588,0.237729,1.720685,1.200434,40.0000,39.3732,0.626823,1,33.8969,414,recipe_00020,1000
0,76,0.003000,0.033000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.500245,0.310776,0.292381,0.073556,0.392227,0.230096,1.710148,1.169535,40.0000,39.0079,0.992136,1,34.3115,418,recipe_00020,1000
0,77,0.003000,0.035000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.499355,0.304768,0.000000,0.000000,0.390093,0.224160,1.713942,1.144263,40.0000,38.8521,1.147909,0,34.6514,422,recipe_00020,1000
0,78,0.003000,0.037000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.487583,0.292268,0.000000,0.000000,0.367846,0.207934,1.713966,1.136773,40.0000,38.8070,1.193032,0,35.4459,448,recipe_00020,1000
0,79,0.003000,0.039000,0.000000,0.0000,0.0000,1.0000,5.7780,5436.0,5.9460,20.240,0.1840,6,0.429149,0.254856,0.000000,0.000000,0.284516,0.166863,1.686183,1.112159,40.0000,38.7780,1.222050,0,36.0740,466,recipe_00020,1000
